state,state_abbr,county,year,is_partial_year,num_active_units,total_co2_mass_tons,total_so2_mass_tons,total_nox_mass_tons,total_gross_load_mwh,total_heat_input_mmbtu,co2_rate_tons_per_mwh,so2_rate_tons_per_mwh,nox_rate_tons_per_mwh,pct_heatinput_coal,pct_heatinput_natural_gas,pct_heatinput_oil,pct_heatinput_biomass_waste,pct_heatinput_other,pct_heatinput_unknown,so2_to_nox_ratio,co2_to_nox_ratio,co2_yoy_pct_change,so2_yoy_pct_change,nox_yoy_pct_change
Arkansas,AR,Hempstead,2023,FALSE,2,3260353.33,572.28,651.676,3501258.29,31768245.136,0.93119,0.000163,0.000186,95.05,4.95,0,0,0,0,0.8782,5003.0281,-11.86,-10.26,-22.55
Arkansas,AR,Hempstead,2024,FALSE,2,2983951.649,552.549,628.088,3282192.54,29349233.684,0.90913,0.000168,0.000191,92.93,7.07,0,0,0,0,0.8797,4750.8496,-8.48,-3.45,-3.62
Arkansas,AR,Hempstead,2025,FALSE,2,3407622.113,590.661,683.894,3850877.36,33821255.465,0.88489,0.000153,0.000178,90.91,9.09,0,0,0,0,0.8637,4982.6758,14.2,6.9,8.89
Arkansas,AR,Hempstead,2026,TRUE,2,1127499.694,200.678,233.533,1244941.59,10958327.555,0.90566,0.000161,0.000188,95.62,4.38,0,0,0,0,0.8593,4828.0101,-66.91,-66.02,-65.85
Arkansas,AR,Hot Spring,2020,FALSE,5,1550230.544,7.826,819.404,3588278.82,26085564.548,0.43203,0.000002,0.000228,0,100,0,0,0,0,0.0096,1891.9001,,,
Arkansas,AR,Hot Spring,2021,FALSE,5,1769329.768,8.932,415.601,4244678.34,29772433.34,0.41683,0.000002,0.000098,0,100,0,0,0,0,0.0215,4257.2799,14.13,14.13,-49.28
Arkansas,AR,Hot Spring,2022,FALSE,5,2982603.303,15.056,558.505,7254105.29,50188082.848,0.41116,0.000002,0.000077,0,100,0,0,0,0,0.027,5340.3341,68.57,68.56,34.38
Arkansas,AR,Hot Spring,2023,FALSE,5,2453336.909,12.385,472.246,6089158.31,41282106.27,0.4029,0.000002,0.000078,0,100,0,0,0,0,0.0262,5195.0401,-17.75,-17.74,-15.44
Arkansas,AR,Hot Spring,2024,FALSE,5,2850312.714,14.389,726.54,7070184.17,47961984.597,0.40315,0.000002,0.000103,0,100,0,0,0,0,0.0198,3923.1325,16.18,16.18,53.85
Arkansas,AR,Hot Spring,2025,FALSE,5,2852857.642,14.401,730.589,6882665.08,48004651.326,0.4145,0.000002,0.000106,0,100,0,0,0,0,0.0197,3904.8735,0.09,0.08,0.56
Arkansas,AR,Hot Spring,2026,TRUE,5,1549083.582,7.819,231.63,3795195.5,26066396.76,0.40817,0.000002,0.000061,0,100,0,0,0,0,0.0338,6687.7502,-45.7,-45.71,-68.3
Arkansas,AR,Independence,2020,FALSE,2,3688666.339,7989.339,2991.829,3135437.61,35188269.116,1.17644,0.002548,0.000954,100,0,0,0,0,0,2.6704,1232.9135,,,
Arkansas,AR,Independence,2021,FALSE,2,4926904.065,11041.823,3531.959,4342049.31,46990028.878,1.1347,0.002543,0.000813,100,0,0,0,0,0,3.1263,1394.9494,33.57,38.21,18.05
Arkansas,AR,Independence,2022,FALSE,2,5655309.715,12384.679,4326.778,4797892.11,53944051.671,1.17871,0.002581,0.000902,100,0,0,0,0,0,2.8623,1307.0487,14.78,12.16,22.5
Arkansas,AR,Independence,2023,FALSE,2,6086794.294,12847.925,4752.82,5050175.82,58051032.773,1.20526,0.002544,0.000941,100,0,0,0,0,0,2.7032,1280.6701,7.63,3.74,9.85
Arkansas,AR,Independence,2024,FALSE,2,6736359.474,13653.086,5317.866,5745115.46,64247388.23,1.17254,0.002376,0.000926,100,0,0,0,0,0,2.5674,1266.7411,10.67,6.27,11.89
